category_id,category_name
1,Fiction
2,Non-Fiction
3,Biography
4,Autobiography
5,History
6,Science
7,Philosophy
8,Religion
9,Politics
10,Business
11,Cooking
12,Travel
13,Art
14,Music
15,Sports
16,Technology
17,Self-Help
18,Romance
19,Mystery
20,Horror
21,Fantasy
22,Science Fiction
23,Poetry
24,Drama
25,Comics
26,Graphic Novels
27,Young Adult
28,Children
29,Reference
30,Medical
31,Psychology
32,Education
33,Sociology
34,Anthropology
35,Linguistics
36,Environmental Science
37,Geology
38,Astronomy
39,Mathematics
40,Physics
41,Chemistry
42,Biology
43,Engineering
44,Computer Science
45,Law
46,Economics
47,Marketing
48,Management
49,Finance
50,Accounting
51,Ethics
52,Culture
53,Fashion
54,Gardening
55,Pets
56,Parenting
57,Relationships
58,Humor
59,Memoir
60,True Crime
61,Spirituality
62,Travel Guides
63,Cycling
64,Hiking
65,Sailing
66,Fishing
67,Photography
68,Architecture
69,Interior Design
70,Fashion Design
